Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Year,Month,Day,DayOfWeek
7,4,1,2,9503.28,468.8,3.25,6.3,3,0.781,10.65,0,2025,2,23,3
2,0,1,1,1163.26,346.27,1.62,9.9,2,0.904,9.76,1,2025,11,1,2
4,2,0,1,13137.28,78.77,2.08,5.4,2,0.595,6.58,1,2024,6,7,0
4,5,3,3,14615.59,122.48,3.96,7.1,2,0.936,220.25,1,2024,3,17,3
4,7,0,2,14548.73,421.25,2.28,0.6,0,0.879,1.17,0,2025,4,25,0
3,4,2,1,11369.95,105.44,2.81,6.3,4,0.861,26.24,1,2024,9,28,2
1,0,1,1,2386.25,37.19,4.31,7.6,4,0.543,6.72,1,2024,12,12,4
5,7,2,4,11494.82,351.94,1.95,7.8,0,0.511,10.24,0,2025,9,30,5
7,3,3,1,856.51,201.86,2.49,7.7,0,0.797,1.29,0,2025,12,10,6
0,1,0,0,820.79,460.1,3.2,2.3,4,0.932,0.5,1,2025,2,11,5
7,6,0,1,5192.35,325.48,3.69,9.8,0,0.792,0.5,0,2025,10,27,1
3,5,1,4,7585.33,46.12,4.18,10.0,4,0.607,22.93,1,2024,3,23,2
5,2,3,4,11670.91,473.98,4.22,0.8,3,0.545,20.27,0,2024,12,2,1
7,2,1,0,10407.78,130.02,3.76,9.4,0,0.85,11.23,0,2025,11,21,0
3,0,2,0,6965.59,169.27,1.95,2.9,4,0.861,13.56,1,2025,6,30,1
4,0,2,0,4467.59,201.73,1.28,6.9,1,0.586,5.4,1,2025,1,24,0
3,5,3,4,14958.31,26.56,2.47,3.4,1,0.514,36.24,0,2024,11,20,6
7,3,2,3,6679.63,248.76,1.67,9.7,2,0.704,47.68,1,2025,10,3,0
1,4,2,4,7045.11,62.54,3.54,1.0,4,0.791,12.61,1,2025,5,14,6
7,5,3,0,2872.55,201.08,3.38,5.0,0,0.853,5.2,0,2025,7,8,5
6,2,3,3,12024.74,176.0,1.35,4.3,3,0.905,24.0,1,2024,2,6,5
0,7,3,1,10558.39,386.65,3.96,3.3,4,0.805,51.28,0,2025,9,24,6
3,0,3,3,3701.16,401.78,2.02,6.5,3,0.555,8.19,1,2024,3,11,1
2,1,1,0,1694.53,77.55,2.63,1.3,2,0.841,9.91,1,2024,8,28,6
6,2,0,1,10367.24,183.91,3.4,7.2,0,0.992,0.97,0,2025,10,8,6
7,3,2,1,9990.41,187.3,2.62,9.8,4,0.953,26.61,1,2025,12,1,1
3,7,1,0,4462.26,76.55,2.66,8.0,2,0.936,34.7,1,2024,10,21,1
0,8,1,3,14287.52,399.43,1.42,8.6,3,0.651,16.85,1,2024,8,20,5
4,1,3,0,2690.34,353.91,2.52,3.6,1,0.875,6.65,1,2024,4,2,5
0,6,1,3,6768.85,96.0,3.72,3.2,4,0.926,16.5,1,2025,3,20,4
6,1,1,0,14182.43,183.99,4.22,5.2,1,0.839,18.1,0,2024,4,10,6
2,6,0,2,6586.05,53.8,2.56,0.5,4,0.625,0.88,0,2025,10,10,0
1,3,2,2,9758.63,314.48,2.6,9.5,4,0.977,25.14,1,2025,12,21,3
6,6,2,1,6265.12,61.56,3.52,1.4,2,0.725,31.96,1,2024,4,12,0
5,3,3,2,4476.12,492.98,4.31,9.0,0,0.565,8.73,0,2025,3,30,3
4,1,0,0,14767.68,390.56,2.08,0.8,3,0.555,1.35,0,2024,6,19,6
1,3,2,2,6435.34,195.73,2.65,8.2,0,0.824,5.74,0,2025,12,11,4
7,7,0,4,13464.44,289.7,3.83,1.5,2,0.719,5.58,1,2024,11,2,2
7,3,1,4,3834.34,455.76,3.21,0.4,0,0.547,2.71,0,2024,1,30,5
4,8,0,4,3590.02,277.5,1.56,7.2,0,0.87,0.57,1,2024,2,17,2
3,1,1,0,951.44,88.07,3.27,2.8,1,0.9,1.04,0,2024,11,28,4
2,8,1,0,9949.17,189.97,1.82,7.1,2,0.863,74.66,1,2024,2,27,5
1,4,3,4,5843.63,421.73,2.88,5.6,4,0.601,30.56,1,2024,10,27,3
0,3,1,0,13033.19,322.46,2.95,1.1,1,0.845,14.74,0,2025,1,2,4
5,7,1,2,7361.54,325.71,4.09,9.3,4,0.505,22.94,1,2025,1,18,2
7,5,0,2,14538.8,433.54,2.73,4.5,1,0.653,1.29,1,2025,3,17,1
2,1,2,2,3190.12,447.09,2.12,7.3,0,0.699,2.98,0,2024,5,29,6
2,3,3,3,13095.04,459.98,1.96,5.0,1,0.918,32.63,0,2024,9,7,2
2,8,3,1,11760.65,48.33,4.09,6.0,1,0.695,32.57,0,2025,6,27,0
3,0,2,1,11678.37,272.52,1.76,3.0,2,0.506,63.95,1,2025,2,25,5
4,2,3,1,12749.36,370.51,2.61,2.0,4,0.676,58.52,1,2025,8,2,2
3,8,2,4,11534.85,378.71,1.82,5.4,0,0.749,8.57,1,2025,11,29,2
7,5,0,3,9580.19,303.75,3.75,4.4,0,0.975,1.31,0,2024,7,3,6
3,5,0,0,2403.05,84.23,2.77,3.9,2,0.971,0.67,1,2024,6,23,3
0,6,2,1,971.63,398.91,2.36,6.7,0,0.59,1.51,1,2024,6,28,0
7,2,2,3,13852.29,360.34,2.39,6.9,3,0.593,13.51,1,2024,3,21,4
3,5,1,4,9441.43,43.98,4.01,0.5,1,0.582,10.37,0,2025,9,16,5
4,6,3,1,12049.79,232.44,3.03,3.4,0,0.894,19.41,0,2025,1,26,3
5,7,0,4,7482.07,87.81,3.57,4.1,1,0.503,0.5,0,2025,9,26,0
2,3,0,3,2200.97,169.4,4.16,1.0,2,0.564,1.43,1,2025,11,30,3
0,6,3,3,2315.19,10.02,4.18,2.4,2,0.769,28.91,1,2024,9,3,5
5,4,3,3,10440.7,200.76,2.28,0.5,2,0.624,119.68,1,2025,5,24,2
6,0,1,4,6739.44,275.39,4.34,10.0,3,0.546,8.32,1,2025,8,20,6
0,7,3,2,3407.61,310.17,1.28,7.4,1,0.68,9.5,1,2024,5,26,3
4,3,3,4,7628.12,332.08,2.44,0.9,0,0.637,11.75,0,2024,8,25,3
0,4,2,0,1431.03,418.31,4.16,0.2,1,0.756,2.25,0,2025,4,17,4
4,8,1,1,8938.59,108.52,2.11,7.2,0,0.99,8.44,0,2025,10,15,6
5,1,3,3,4400.4,61.12,2.1,4.4,0,0.562,7.08,1,2024,9,17,5
0,2,3,2,12064.61,425.92,2.2,7.9,4,0.686,70.45,1,2025,4,15,5
3,4,1,3,5000.25,79.15,3.22,9.2,2,0.966,40.48,1,2024,9,18,6
2,0,1,1,7100.69,487.41,2.65,6.0,1,0.938,9.91,1,2025,11,13,4
1,0,0,4,668.5,421.43,3.6,1.9,1,0.697,0.5,1,2024,1,10,6
5,0,2,0,1550.48,250.94,4.15,7.8,2,0.849,11.05,1,2025,4,21,1
4,7,2,4,6191.16,490.73,3.42,9.6,1,0.544,7.82,1,2024,10,21,1
5,3,0,1,7459.11,49.59,1.87,5.8,0,0.856,0.74,0,2025,11,24,1
4,3,0,2,9200.3,152.23,4.28,6.8,0,0.986,0.5,1,2025,7,13,3
5,3,2,0,4729.11,319.47,2.07,3.4,2,0.769,26.18,1,2024,6,10,1
3,6,0,0,10577.24,175.65,1.69,3.8,2,0.749,5.04,1,2024,3,16,2
5,0,3,3,12971.77,464.26,1.5,7.3,1,0.594,37.32,0,2025,3,28,0
0,2,2,2,11807.84,33.75,3.06,9.3,1,0.817,15.89,0,2024,12,19,4
5,5,1,3,1074.47,275.16,1.58,6.3,1,0.795,1.75,0,2025,8,24,3
5,4,0,0,7467.35,295.84,1.66,7.9,4,0.826,1.57,1,2024,11,2,2
2,3,0,3,2021.49,326.71,2.19,1.7,2,0.513,0.98,1,2025,10,16,4
6,6,3,2,4009.65,128.58,2.13,2.1,2,0.774,49.72,1,2025,3,10,1
6,0,0,0,14806.61,182.92,3.19,5.3,3,0.797,1.64,0,2025,12,7,3
5,4,2,3,2566.19,422.0,3.9,1.8,3,0.604,0.65,0,2024,9,13,0
2,3,1,3,7733.88,98.28,3.71,6.3,3,0.604,8.36,1,2025,4,12,2
5,3,0,0,9463.26,413.61,2.07,2.9,1,0.638,0.73,0,2024,11,5,5
7,7,1,2,10685.74,281.77,2.01,7.9,0,0.856,10.69,1,2024,7,22,1
2,3,2,1,8614.91,381.33,4.39,8.1,1,0.803,10.77,0,2025,1,28,5
0,1,1,1,641.68,357.09,1.23,4.6,0,0.923,0.91,0,2025,5,9,0
0,6,0,0,5233.69,104.55,4.1,1.8,4,0.648,0.5,0,2024,4,19,0
3,0,3,1,8006.82,284.84,1.86,6.5,0,0.956,14.85,1,2024,8,30,0
1,0,0,3,1774.06,433.99,4.33,9.9,4,0.872,0.86,1,2025,1,25,2
3,7,2,4,5584.09,216.63,2.33,6.2,2,0.698,34.13,1,2025,8,8,0
5,5,0,1,981.45,483.33,2.65,0.4,3,0.548,1.32,0,2025,1,2,4
4,1,1,4,1639.39,226.66,3.53,0.2,4,0.628,4.04,1,2025,8,11,1
6,2,2,3,6255.39,72.25,3.14,3.2,3,0.978,5.18,0,2024,10,29,5
5,2,0,4,2424.38,195.33,2.25,2.0,4,0.655,0.5,1,2025,12,17,6
5,1,3,0,8729.34,475.9,3.03,8.1,4,0.665,51.07,1,2024,10,29,5
7,2,1,1,10497.24,160.54,3.61,8.4,2,0.595,82.99,1,2024,1,23,5
3,0,1,4,12108.51,434.18,1.34,2.6,0,0.903,9.72,1,2025,11,5,6
4,1,3,1,3402.18,440.74,1.24,3.3,2,0.638,44.71,1,2025,2,9,3
4,0,2,2,2928.5,175.74,2.71,2.4,4,0.665,5.61,0,2024,10,8,5
4,0,3,1,2016.23,42.55,1.64,9.1,1,0.707,6.39,0,2024,1,9,5
7,1,2,3,9728.24,362.55,3.39,5.0,4,0.717,21.09,0,2025,8,2,2
2,8,1,0,10743.9,156.44,1.91,6.6,1,0.706,14.66,1,2025,12,3,6
6,8,2,0,958.0,391.68,2.63,4.2,3,0.752,1.01,0,2024,2,20,5
1,0,0,4,14075.08,221.88,1.85,6.3,2,0.907,8.06,1,2025,9,12,0
5,7,1,1,1253.58,243.15,3.01,3.9,4,0.91,2.74,1,2025,5,23,0
1,6,1,0,8348.8,389.18,1.58,3.4,3,0.899,7.92,0,2024,10,20,3
2,3,1,2,10781.38,191.8,1.28,6.3,4,0.551,30.32,0,2024,8,23,0
5,4,3,1,13129.05,222.12,1.37,5.9,3,0.9,28.93,0,2025,9,13,2
0,2,0,1,10854.26,188.72,4.35,2.9,3,0.56,0.88,0,2024,12,26,4
1,6,2,1,12125.06,184.3,1.67,1.5,2,0.562,60.93,1,2024,8,12,1
1,3,0,2,5422.03,263.45,3.54,3.7,2,0.974,3.93,1,2025,10,13,1
5,8,1,4,12314.96,404.59,1.42,4.2,2,0.91,82.61,1,2024,7,13,2
5,0,1,3,1661.67,181.52,1.56,6.3,3,0.776,1.66,1,2025,9,27,2
4,6,0,3,13474.84,262.6,2.88,9.1,4,0.937,2.81,1,2024,9,13,0
4,0,1,1,8440.09,335.69,2.73,0.4,3,0.995,7.35,0,2025,11,25,5
7,5,0,0,12350.82,135.45,4.34,2.4,1,0.805,1.28,1,2025,11,6,4
0,1,3,2,7058.62,139.48,4.32,1.9,1,0.806,16.61,0,2025,11,28,0
7,1,3,2,9831.88,466.77,3.77,5.0,3,0.877,20.04,0,2024,5,20,1
3,8,2,1,8132.84,362.04,3.19,4.3,0,0.616,5.72,1,2025,10,5,3
0,7,2,1,11108.05,289.02,2.7,7.3,1,0.584,14.55,1,2024,4,9,5
4,8,1,1,1683.63,324.21,2.38,2.4,1,0.88,2.08,1,2025,10,4,2
4,3,2,3,1375.11,15.62,4.33,5.9,4,0.672,3.1,0,2025,10,23,4
4,7,1,4,4083.0,309.43,3.19,8.8,2,0.568,32.24,1,2024,2,10,2
6,2,1,3,2813.4,255.24,3.11,9.1,0,0.657,3.1,0,2024,11,12,5
5,7,3,4,13140.86,273.33,1.97,9.6,0,0.679,27.52,1,2025,3,27,4
1,3,0,3,3678.6,180.35,1.35,7.7,4,0.983,1.23,1,2024,2,4,3
1,5,3,2,14650.05,41.66,4.32,9.1,2,0.849,236.39,1,2025,8,16,2
2,5,1,1,5384.99,97.48,2.24,2.3,4,0.765,12.71,1,2025,1,8,6
1,8,0,1,3140.71,475.42,2.66,2.0,1,0.984,1.11,1,2024,5,14,5
4,7,0,1,11950.63,204.94,1.58,0.1,1,0.952,1.47,0,2024,4,2,5
0,8,1,3,10051.26,233.87,3.96,7.1,2,0.756,75.18,1,2024,10,29,5
0,4,1,3,7723.84,27.3,1.29,9.4,1,0.953,10.54,1,2024,11,30,2
7,6,0,3,8552.77,19.75,3.95,1.9,2,0.702,4.05,1,2025,3,1,2
0,1,2,4,10928.43,358.87,1.66,6.4,3,0.615,10.69,1,2024,6,28,0
2,6,3,2,3812.59,269.51,4.13,7.5,0,0.616,6.73,0,2024,7,24,6
0,4,1,1,14946.84,254.84,3.61,9.3,3,0.831,18.23,0,2024,5,15,6
7,6,3,0,14634.5,122.32,1.74,6.5,0,0.751,26.77,1,2025,7,6,3
6,3,1,1,9929.72,372.63,3.07,9.7,3,0.829,12.34,1,2025,1,9,4
1,3,3,3,3393.37,84.95,2.23,3.4,2,0.843,43.93,1,2025,6,27,0
1,8,1,1,10363.31,95.78,1.79,3.5,4,0.511,26.01,1,2025,5,28,6
7,1,0,0,1546.88,230.9,4.04,5.4,3,0.527,0.5,1,2024,10,6,3
4,5,0,4,944.46,143.85,2.53,3.8,3,0.766,0.5,1,2024,6,17,1
0,7,0,0,4236.4,124.48,2.52,0.0,1,0.596,0.79,0,2024,9,20,0
7,7,0,1,7208.03,322.97,1.76,7.3,3,0.816,0.5,1,2025,5,8,4
0,8,1,2,13089.95,325.83,2.46,7.5,1,0.776,19.4,0,2024,10,29,5
7,6,0,2,11043.95,412.43,4.08,7.5,1,0.793,1.68,0,2024,12,12,4
4,7,1,2,11269.24,209.44,2.4,3.5,1,0.651,14.46,1,2024,4,27,2
3,7,1,0,6669.65,37.47,4.34,5.2,2,0.82,46.65,1,2025,4,24,4
1,4,3,3,5516.06,137.56,4.32,3.6,2,0.915,72.07,1,2024,3,18,1
0,4,2,0,5880.06,490.02,1.68,0.2,3,0.999,4.28,0,2024,5,24,0
3,7,0,0,14820.92,298.53,1.79,5.6,4,0.919,2.92,0,2024,8,19,1
3,1,0,2,1081.58,355.16,4.05,1.2,4,0.779,0.5,1,2025,11,23,3
1,8,3,1,13071.96,4.67,2.5,0.8,0,0.597,18.61,0,2025,11,21,0
5,1,3,0,8890.79,259.58,1.21,7.6,4,0.841,50.86,1,2025,2,10,1
0,5,3,3,6859.92,19.73,2.1,0.1,0,0.969,8.99,0,2025,7,24,4
3,8,2,3,11016.24,285.05,3.17,9.6,3,0.606,11.98,1,2025,1,9,4
7,7,2,2,7556.7,460.46,3.84,5.2,4,0.628,16.94,1,2024,4,2,5
5,3,3,2,13164.64,484.24,1.64,9.8,3,0.575,32.57,0,2025,2,8,2
1,0,3,3,13560.18,270.74,1.56,0.6,2,0.868,154.48,1,2024,1,15,1
1,5,0,0,6614.95,229.64,4.24,5.8,4,0.703,0.75,1,2024,9,27,0
6,6,0,2,4514.0,472.56,3.68,3.5,4,0.531,1.8,0,2025,7,3,4
6,4,3,1,9089.08,337.13,3.15,8.4,1,0.937,26.61,1,2024,5,6,1
5,3,0,1,13729.27,33.38,3.74,3.6,0,0.779,1.15,0,2025,4,10,4
5,1,2,4,3554.6,233.4,2.62,2.6,3,0.666,2.95,0,2025,1,12,3
0,7,0,1,9533.02,120.88,3.7,8.6,0,0.672,0.5,1,2025,11,19,6
0,5,0,0,9657.62,235.43,2.43,3.7,2,0.645,5.67,1,2025,11,19,6
2,6,2,3,11130.14,228.28,2.01,0.2,1,0.728,10.36,0,2024,9,25,6
1,8,1,1,2407.73,291.49,3.61,3.9,3,0.669,2.01,0,2025,8,21,4
7,6,0,0,10879.46,179.03,2.58,6.5,0,0.774,0.74,0,2025,1,25,2
5,5,3,2,13680.97,82.97,4.44,2.5,2,0.887,170.77,1,2025,10,15,6
1,4,2,3,3105.41,252.36,2.35,4.3,2,0.837,18.89,1,2025,1,15,6
4,6,3,0,3944.38,415.27,4.24,0.6,1,0.647,8.0,1,2024,4,20,2
1,4,3,2,14585.23,332.34,4.28,5.9,3,0.764,31.2,0,2025,11,22,2
6,1,3,3,3124.17,169.85,2.0,7.6,0,0.92,5.62,0,2024,8,27,5
3,1,2,0,12888.58,467.83,3.83,4.1,1,0.534,13.93,1,2025,4,27,3
2,3,1,3,7638.03,456.19,2.63,4.2,3,0.539,8.39,1,2024,1,26,0
5,3,2,0,4084.85,105.46,4.23,0.9,2,0.778,21.2,1,2025,9,26,0
6,5,3,4,13125.87,20.67,2.69,2.0,3,0.82,23.89,0,2025,7,28,1
6,1,2,2,6956.93,370.91,3.66,1.5,1,0.606,6.88,0,2024,12,1,3
6,2,2,1,7964.85,413.98,2.74,4.8,1,0.873,8.87,0,2025,9,16,5
1,3,3,2,5708.88,483.96,1.95,5.3,1,0.823,14.55,1,2024,8,14,6
2,0,3,2,9097.79,445.03,1.86,9.5,1,0.962,29.16,0,2025,10,25,2
6,0,0,4,2871.1,300.67,2.6,0.7,0,0.584,0.84,0,2024,3,5,5
0,7,0,3,6170.68,265.5,3.69,6.0,0,0.876,0.51,0,2025,10,12,3
5,1,3,3,14556.48,14.89,3.2,5.3,2,0.542,205.11,1,2025,4,20,3
0,5,3,0,4242.93,124.08,3.47,5.2,4,0.783,22.85,1,2025,12,18,4
0,5,3,1,10022.68,230.35,2.13,8.7,3,0.776,24.04,0,2024,11,5,5
7,6,1,3,5215.26,314.62,2.79,2.1,4,0.694,12.14,1,2025,10,26,3
5,8,2,2,11715.36,279.07,1.35,0.4,3,0.922,9.29,0,2025,2,22,2
2,3,3,3,2397.67,371.58,3.9,6.7,1,0.502,6.2,1,2024,4,29,1
5,1,0,2,14562.41,140.6,4.47,3.5,2,0.76,7.95,1,2024,5,23,4
5,7,3,2,7079.95,282.91,2.54,0.2,1,0.609,14.77,0,2024,2,16,0
5,0,0,1,3922.73,44.98,1.24,2.5,3,0.872,1.04,0,2024,2,8,4
5,8,2,4,1565.7,207.42,1.76,3.1,0,0.522,1.07,0,2024,11,7,4
7,3,1,2,2961.49,375.33,3.35,6.2,2,0.916,21.7,1,2025,5,19,1
0,8,2,2,8036.72,347.01,3.22,1.7,0,0.919,5.18,0,2024,4,28,3
3,1,2,2,5386.55,495.33,3.8,4.1,0,0.916,3.6,0,2024,4,9,5
3,8,1,0,12518.81,139.67,2.04,4.8,1,0.576,16.05,1,2024,8,28,6
1,2,1,2,6747.87,249.6,3.72,4.6,0,0.815,6.45,0,2025,7,4,0
3,6,3,3,4106.36,165.44,3.47,9.7,3,0.507,9.02,1,2024,5,18,2
5,1,2,3,9448.6,220.86,2.27,0.5,0,0.924,5.13,0,2025,2,1,2
6,1,3,0,10748.27,428.62,3.0,9.5,0,0.861,21.66,1,2025,4,9,6
5,3,0,1,2922.11,342.42,1.69,5.8,3,0.766,0.5,0,2025,1,14,5
4,8,2,4,2930.48,441.34,2.69,8.0,4,0.865,8.07,1,2025,11,17,1
7,6,1,2,1031.74,102.55,4.11,4.3,3,0.547,1.67,1,2025,12,14,3
3,2,1,2,11177.83,436.81,2.59,4.5,3,0.764,11.72,0,2025,7,7,1
7,4,0,4,10125.17,30.82,3.97,8.8,4,0.646,1.96,1,2025,3,5,6
1,2,3,2,7382.15,444.41,3.15,9.0,4,0.986,45.21,1,2025,8,24,3
1,0,3,4,12740.47,165.21,1.83,2.4,1,0.929,28.92,0,2024,6,7,0
1,7,1,0,12182.22,157.98,3.12,2.0,3,0.867,12.23,0,2025,2,28,0
7,6,3,4,8987.64,256.53,2.87,5.0,0,0.967,15.24,1,2025,11,1,2
1,6,3,0,13089.93,470.4,2.52,9.0,4,0.673,78.96,1,2024,4,11,4
4,2,1,2,3484.7,24.84,1.59,3.2,1,0.95,4.0,1,2025,5,16,0
4,2,3,2,2122.83,176.76,2.58,6.5,1,0.663,5.33,1,2025,9,22,1
1,5,1,1,4411.37,428.43,1.44,7.1,1,0.866,7.18,0,2025,2,21,0
1,6,0,3,1327.76,198.63,1.53,7.8,0,0.868,0.5,0,2024,10,13,3
0,3,0,4,8201.96,100.38,2.57,5.6,2,0.509,4.99,1,2024,2,3,2
1,3,2,1,14080.78,212.97,2.21,4.0,1,0.681,14.49,1,2025,12,7,3
6,0,2,3,1070.48,193.39,4.25,9.7,0,0.51,1.04,0,2025,1,14,5
7,7,1,0,2270.59,457.79,2.44,6.1,2,0.999,16.73,1,2024,8,10,2
4,1,3,1,7056.89,381.21,3.7,7.3,2,0.561,107.11,1,2025,3,30,3
3,0,0,1,14041.19,253.05,2.95,3.4,1,0.771,0.71,1,2025,3,31,1
4,1,2,2,5084.26,494.2,3.52,6.7,0,0.895,4.58,0,2024,8,29,4
7,6,0,1,7854.9,233.17,2.06,2.6,1,0.601,0.75,1,2025,1,6,1
5,3,0,4,1102.81,30.06,4.31,2.5,4,0.743,0.5,1,2024,4,11,4
5,5,0,0,2650.98,131.87,2.95,7.1,2,0.804,0.57,1,2025,12,3,6
7,2,0,4,14806.14,218.6,3.94,5.2,1,0.58,1.76,1,2025,1,11,2
2,5,0,4,14494.22,79.29,2.4,6.8,4,0.889,4.26,1,2025,7,11,0
7,0,3,2,571.63,473.83,1.53,2.7,1,0.65,0.84,0,2025,10,22,6
5,7,0,0,14301.27,383.66,3.42,6.0,1,0.606,1.54,1,2025,1,2,4
7,5,2,3,9767.24,134.88,1.23,4.4,1,0.779,11.21,0,2024,3,3,3
3,8,1,3,13084.82,295.81,2.77,6.0,1,0.705,17.06,0,2025,2,11,5
2,6,1,3,7093.73,361.0,1.84,2.9,4,0.96,16.69,1,2024,10,9,6
6,4,1,0,7976.14,470.7,3.27,7.2,0,0.94,7.09,0,2024,7,13,2
7,7,2,0,7588.28,440.94,4.43,8.1,2,0.742,51.19,1,2024,5,5,3
6,5,3,3,10169.53,258.08,2.73,2.6,2,0.68,128.34,1,2025,4,10,4
0,1,3,0,2524.94,387.55,3.9,3.0,1,0.663,6.13,0,2024,4,3,6
5,1,1,1,934.62,281.51,2.88,6.6,2,0.634,6.49,1,2025,11,9,3
5,2,3,0,4964.98,276.8,2.84,7.0,3,0.772,10.93,1,2024,8,5,1
3,4,1,2,10717.87,58.26,4.27,7.0,3,0.902,11.76,1,2025,10,19,3
5,4,0,2,3426.88,63.94,4.14,6.8,4,0.655,0.5,1,2025,10,16,4
1,7,2,4,10264.77,265.24,3.79,3.9,4,0.595,21.88,1,2025,9,3,6
2,6,3,3,14563.72,135.16,2.18,3.9,0,0.738,24.51,1,2024,1,22,1
7,0,1,1,1861.56,11.5,3.0,2.5,0,0.535,1.7,0,2024,2,21,6
6,0,3,3,10252.73,361.7,1.94,1.6,2,0.851,122.85,1,2024,12,7,2
3,7,1,1,6934.38,17.21,2.66,6.9,4,0.759,19.48,1,2024,9,6,0
2,8,0,0,13088.06,298.04,2.8,0.9,3,0.748,0.82,0,2024,5,8,6
2,3,2,2,3068.67,270.06,3.94,9.4,3,0.65,2.57,1,2025,8,1,0
0,7,2,0,10543.08,484.44,4.16,8.3,4,0.952,26.69,0,2024,7,29,1
6,8,2,4,12652.67,242.62,2.57,8.6,3,0.545,12.62,1,2024,3,11,1
0,7,2,0,14196.91,32.74,1.26,9.1,1,0.935,17.75,0,2025,7,21,1
6,1,3,3,10407.1,276.29,4.04,4.1,4,0.688,52.41,1,2024,7,31,6
3,2,3,0,7709.03,420.71,1.78,8.5,3,0.94,17.98,1,2025,8,23,2
1,8,3,0,9458.78,498.43,3.25,1.6,1,0.864,21.38,0,2024,8,9,0
5,5,0,4,13099.12,215.74,1.28,0.2,2,0.552,5.94,1,2024,8,26,1
6,2,2,3,8773.84,160.83,2.52,7.8,3,0.916,8.25,1,2024,12,2,1
3,7,3,1,940.61,453.42,4.45,0.7,3,0.841,1.67,0,2024,5,31,0
2,1,3,2,13998.76,96.43,1.53,9.9,3,0.516,33.96,1,2025,9,2,5
0,5,0,0,10498.14,308.1,2.6,6.7,0,0.567,1.5,1,2024,1,3,6
4,6,3,0,10309.44,203.45,2.21,7.5,2,0.818,157.02,1,2024,10,10,4
4,5,0,1,3627.29,21.5,4.19,2.5,0,0.831,0.5,0,2024,5,28,5
7,4,1,1,10053.84,174.3,4.07,6.7,4,0.873,28.67,0,2024,5,13,1
6,3,2,1,6211.03,133.35,1.98,0.4,3,0.86,4.42,0,2025,7,7,1
6,1,2,4,9942.88,343.36,1.47,8.4,2,0.83,66.58,1,2024,9,13,0
1,5,3,2,2045.6,474.45,3.27,1.7,0,0.883,3.44,0,2024,6,27,4
3,5,3,3,10038.76,134.76,2.31,7.0,1,0.788,28.55,1,2024,4,22,1
0,4,2,4,14991.5,405.92,3.42,2.2,0,0.63,9.61,1,2025,11,7,0
2,4,0,4,1199.07,28.62,1.31,0.7,4,0.956,0.5,1,2024,1,27,2
3,6,2,1,14669.03,269.52,1.64,4.8,4,0.509,32.28,1,2024,5,14,5
2,0,3,4,6400.17,36.2,3.47,1.7,1,0.683,14.36,0,2024,1,16,5
5,4,1,3,13125.93,467.08,1.9,7.3,3,0.864,13.98,1,2025,1,1,6
1,7,0,2,11844.59,383.41,4.03,2.4,1,0.714,0.94,0,2024,8,31,2
1,8,3,3,8721.74,329.32,1.39,3.4,0,0.512,15.08,0,2025,8,25,1
1,7,0,1,11207.51,412.12,1.91,5.7,0,0.533,0.5,0,2024,11,27,6
5,4,0,2,13238.48,324.11,4.5,2.8,4,0.824,2.07,1,2024,1,17,6
4,8,1,3,6360.03,484.5,2.63,3.8,1,0.982,7.29,0,2024,6,27,4
3,6,1,0,5241.98,357.27,3.52,8.2,2,0.776,41.3,1,2024,9,28,2
4,8,1,3,10180.1,462.4,1.8,1.8,0,0.753,8.3,0,2024,2,23,0
7,2,3,0,12213.77,259.05,3.21,0.8,0,0.659,18.25,0,2024,5,9,4
6,0,2,4,11553.13,59.42,3.6,3.3,4,0.628,23.39,1,2025,3,7,0
7,7,0,0,12068.3,264.56,2.24,4.2,0,0.51,1.01,0,2025,6,22,3
1,2,2,4,6815.96,64.31,3.94,5.4,0,0.636,5.87,1,2024,4,26,0
6,6,3,4,12358.6,296.65,3.19,3.7,0,0.725,20.62,0,2024,3,6,6
4,1,2,3,2243.03,241.76,2.48,7.9,0,0.599,2.1,1,2025,5,2,0
0,4,2,1,8395.09,311.67,3.04,0.4,1,0.544,7.41,1,2025,4,4,0
0,4,2,4,583.5,6.01,3.1,4.3,3,0.859,0.62,1,2025,1,5,3
7,1,0,4,5206.49,98.23,1.75,3.8,1,0.947,1.1,1,2025,6,9,1
2,5,0,0,5813.69,246.17,2.53,6.5,0,0.968,0.56,0,2025,8,30,2
2,5,1,4,6244.5,475.3,2.33,9.7,0,0.809,5.81,1,2024,4,21,3
4,6,1,2,10584.27,192.42,2.52,5.1,2,0.526,73.58,1,2025,4,7,1
7,7,3,4,6134.09,212.76,3.71,9.9,0,0.87,13.33,1,2025,5,30,0
4,1,3,1,7006.06,357.63,2.79,3.0,3,0.555,13.6,1,2024,8,14,6
3,0,0,2,3944.39,302.29,4.3,0.3,1,0.835,0.5,0,2025,9,21,3
3,0,1,2,5912.15,150.16,2.17,1.7,4,0.89,13.06,1,2024,2,14,6
6,5,3,0,3795.41,206.0,2.57,4.0,2,0.863,51.1,1,2025,11,5,6
3,7,2,1,1561.34,109.63,3.8,3.2,2,0.976,9.44,1,2025,6,17,5
